col1,col2
5289,46057
25594,16154
43839,49803
16607,41722
47074,38718
13424,27052
44278,426
8316,17328
23371,15774
9998,11585
39763,2284
43530,11776
34801,14251
4237,46422
12774,41005
14730,36327
31136,36667
23615,12746
23398,16081
17871,19160
46598,33498
24087,32742
5414,14749
24654,11122
20098,39688
39371,30510
49929,2281
29322,48751
3510,49728
48093,46481
672,14903
44357,18634
33850,21786
10104,3109
33254,46354
42757,10401
181,24410
5523,34488
834,6917
22059,19122
44749,24809
7808,30815
2896,28655
25689,10460
32603,38902
23304,44402
49138,42920
26393,48898
16759,38927
5307,33660
36563,8450
44236,28611
1511,42983
41940,3571
43166,36771
12846,10437
4900,589
23323,2356
8668,26960
9171,32190
33129,5481
12788,40345
5681,23675
22457,6497
28443,18542
31406,24876
20629,26943
4393,34656
43750,4015
41342,28739
32614,24579
12110,4125
1111,49824
28288,14144
27941,6578
14840,38284
42314,12318
37923,38754
2289,8110
9952,13053
39218,40163
28900,15988
22321,14191
46943,8997
39037,41092
21597,32082
26076,14455
14750,6842
9823,6736
36411,41964
47533,47895
3991,29745
34755,17893
5882,6763
25803,33584
43137,49921
34670,10273
8769,6535
12132,24709
28936,12572
45590,44267
21462,43883
44540,39864
46168,44979
42055,47760
3056,45872
3921,21194
8468,33942
34306,39427
39453,49952
22361,45761
39615,38309
37039,3660
987,5308
10401,14430
41619,34002
10515,3846
560,4232
5597,19550
45008,49640
41481,23427
13389,47088
17306,8631
39024,8118
45174,6253
11662,40823
2188,25207
6879,32605
15144,28921
35689,5113
6188,45251
36252,36609
45188,25019
32112,33091
43074,20609
45513,24360
41916,19949
19372,42428
41418,8651
17055,46225
9507,35249
30416,28092
6190,25396
39753,36294
33710,6314
2540,4079
2399,5105
4026,34447
23093,1799
35334,49969
6590,18911
1192,25935
20303,32857
34658,4617
34576,41739
1502,675
23628,12548
26694,25944
30015,18985
26328,19270
25039,23947
26187,11100
11508,43847
24206,20551
9048,13203
8633,23083
423,48242
31323,48593
22311,25457
18930,27527
38335,41754
3175,20910
27237,19461
36438,40208
8547,27395
47859,16889
19147,1889
14982,38835
22482,21173
42297,22963
36976,8650
1879,43310
45022,47574
41871,13877
2284,10843
47503,44910
39701,4405
15320,25935
28717,31379
22468,16562
34647,30594
29722,15730
3314,11017
18605,46764
11707,22782
14576,49462
24172,47856
33386,14651
26917,33701
30391,29305
9084,29978
3501,15419
32391,2972
14437,38401
49457,25709
7336,3978
30256,36999
41116,24371
35426,26899
6641,36343
12838,11554
21484,4120
16476,23374
34857,39125
25751,21820
30804,7311
26699,39906
31547,15688
7174,48369
1874,49168
15675,5958
848,24730
31161,23285
39470,45869
38765,17315
3237,40067
34448,5931
33337,6553
44710,699
18554,33942
15972,14013
34507,17323
17005,28748
47581,20723
7388,49593
43209,44960
35109,17245
1951,38057
17748,29066
29662,16110
32681,9537
7424,48490
37717,1067
43727,952
27601,48541
7960,19616
5942,31145
16991,11728
44450,31775
48910,20845
29815,39124
23219,46837
46519,36685
4768,16972
1581,15535
6529,11682
24972,23666
1797,14647
19288,25554
43243,4780
18029,22782
28650,8455
10908,32371
48695,31669
5111,27667
9692,8770
47305,35729
21441,760
28662,36659
27778,45869
44129,33800
29850,26337
2487,45988
6895,32477
15729,9872
38873,9164
3886,17489
41184,26640
41544,7802
10519,19211
27515,39416
46469,14429
5277,33786
607,27756
9040,8834
16878,26132
42301,13430
21235,35967
34867,45278
31088,1465
8459,16969
6323,42090
20541,3656
21162,36126
38255,41816
4209,8966
35423,6362
5164,10089
26719,8306
39147,5272
17345,36341
19381,41486
27081,23812
27428,44300
35728,15598
22361,12076
31305,33941
32961,249
22398,287
35164,3813
22913,4853
36678,29334
38330,26606
41625,32240
36866,27441
67,20436
18119,5135
522,48346
11129,42600
21501,43985
14611,37160
40415,17983
42008,15156
38103,27891
19914,17255
22768,7459
48391,36726
26466,45299
42470,689
27292,1410
36656,32447
10618,32273
43680,15476
36776,8962
3021,23136
22274,16939
4205,30238
30306,21786
45115,12564
41452,46091
37357,10611
19049,8207
25419,35204
1039,45404
11898,36151
36401,38584
42470,8955
8117,42858
15079,31190
7168,24468
28619,36178
821,37727
30899,46439
13115,25806
39423,11843
8825,24191
34138,45025
27269,7927
42058,15007
33625,6112
2483,12855
33043,48138
36146,24770
12978,38340
17881,16634
35291,17173
25895,46182
9293,32123
8817,42972
46436,11455
42129,3311
6168,31890
5572,19265
12828,44388
38019,36959
834,3338
41039,1338
5265,30927
12621,44048
18073,3556
17460,30138
45676,49216
34089,21441
2162,4251
8454,31659
12114,23160
36579,12764
10830,49907
20982,35296
31685,9038
23020,44749
25080,11391
23632,85
11571,42053
8427,177
7398,21383
35369,22049
24297,10257
22061,19935
41154,23254
35452,10977
6337,5404
21386,24768
1405,2845
42320,45652
39474,15602
38941,16338
46225,35354
44276,4105
32444,16723
20437,33595
33351,35381
48367,21771
8906,23573
189,25529
42064,20818
42572,26510
6642,2230
24607,34132
41908,30737
47402,40726
46146,5931
5920,12560
14925,45654
19864,37505
7459,13066
46897,38455
17801,17953
42920,34125
20132,34368
28186,1783
17241,21145
7205,23300
12735,33746
36156,21211
7821,22822
25702,17118
32738,43188
4474,34778
42598,17113
11906,19481
43210,33005
28142,3263
39400,17853
2201,27219
18360,38331
37177,19349
15178,40045
14097,31852
19863,36794
29274,25870
23433,48627
19113,22786
10046,22557
15593,19731
14676,8518
11412,19866
35501,20981
49422,27002
12019,16886
4548,18642
46978,10617
8620,33018
27737,40684
32380,8742
15758,7474
13722,8498
6657,31699
29849,40468
45471,31160
26513,25466
36771,1629
13059,32127
34690,36420
17552,40439
6700,29172
26815,22487
32496,10493
38253,11369
37817,34463
15164,21635
10939,11562
40366,25217
46618,44165
22984,20272
7964,40839
16362,19641
19225,34765
43264,42585
38538,48050
29783,14173
5172,23872
39267,8715
40492,14794
48199,13022
38539,11795
8943,36421
37844,18897
36289,31851
48057,34974
2274,43748
22334,9045
37872,7120
12202,38058
27127,3932
3247,18610
27810,44783
5820,39255
23891,28254
13534,45650
16414,40364
22246,42805
20194,20009
28575,6376
20463,47257
13183,35626
32030,47291
14522,8136
922,38182
3996,24351
15695,24172
4385,40210
44630,33865
44229,32845
29483,20795
12165,18083
23156,26837
31269,19174
38672,45352
7454,48524
39735,37452
48675,2946
32897,13633
28459,16916
46746,37382
35011,44418
42511,6703
43110,19627
16109,22392
43488,19677
3603,9307
40675,43339
39505,37734
15580,25170
28733,19011
7904,10224
12259,4038
33815,29417
5449,18842
40046,25288
44030,652
17054,24259
8463,33899
3642,9260
24823,25021
16751,33357
35761,36894
19578,33319
28707,30226
1610,8827
2979,19589
2045,29146
47371,41734
13777,40058
4461,10729
17738,29657
10716,26459
31333,22263
5019,1320
19397,25956
14371,43761
21118,42595
37789,47538
9837,45584
32552,31417
6738,27576
11996,29204
39307,49524
30815,4293
11409,48427
16426,7972
45552,2092
36046,46900
46056,14509
48394,49037
34350,31866
40267,35541
24609,30409
22321,48130
7490,2732
46627,41563
42828,37179
14759,44418
35454,41589
36444,25907
35500,33503
11090,48451
27354,45557
5781,11640
29337,35545
25460,9884
25761,44289
7187,9319
34595,33253
12860,40884
570,22267
15521,26184
16478,1938
12296,8925
10158,46402
27776,39280
37111,6913
36809,19644
15933,13828
4957,45394
13292,680
10311,7078
6221,36939
43083,16028
45243,38203
19221,45887
31194,48002
30545,7173
5049,14552
36372,34517
38116,2477
15480,33215
25816,9652
16462,5668
43520,41898
9719,38874
44513,22923
13669,44696
33464,38361
7867,5519
21275,49159
49538,27541
49960,44491
8931,17182
8434,43393
16621,14194
22435,49775
8741,12134
37328,31888
22385,3401
18785,3558
29389,48286
40505,36485
41304,12041
32624,21934
22597,43657
38208,22849
34058,49171
31224,41476
508,35559
6866,8641
14146,46908
28482,32692
34610,11678
30919,38097
49597,35244
7288,16087
34026,40566
20707,13002
18451,27535
16862,16442
13265,22889
30149,16089
23782,1620
46330,14484
11200,31962
18385,44356
30854,9300
31573,8050
14374,22815
12876,43965
5534,35430
28390,27623
17457,49408
14304,15696
5734,44933
16184,13289
28186,15048
9746,24837
44985,24192
21464,43770
14436,42672
15298,25555
11537,2935
8261,20734
42176,7222
26788,10562
28138,42109
2861,33634
20422,7409
6439,28168
44884,34547
42114,35785
13962,8991
18904,40503
22542,6962
20023,29550
699,32127
46059,17454
3018,27120
7716,25567
35063,41045
4414,21945
1145,8292
14179,4144
19745,30084
44628,42235
6623,9313
1802,12107
21009,17119
29124,39789
26935,346
43935,45878
31552,11712
35188,44264
34861,5533
1851,28188
1876,23830
15638,42409
18681,46430
29622,45464
45920,28020
4028,17014
35319,47725
8803,20796
43799,9337
31629,3749
21110,38117
38512,22614
10993,23568
49084,16250
10902,13138
31783,18500
23296,38503
4065,46277
41433,36897
144,28607
3799,24636
28814,683
7470,40292
17391,36315
28717,18167
48206,6745
35524,21119
18970,49636
14210,12487
14188,1619
26333,34015
27365,37062
43086,27798
22083,26470
868,9031
47815,34237
31293,2635
49588,12367
32387,28787
44829,49319
8733,17544
17124,37326
29295,49086
4170,20422
13432,4682
26008,2862
26353,2619
1202,26187
4808,10020
21460,7967
31144,11267
31114,25241
34421,49304
31565,24662
46975,10979
45702,44943
41427,954
48948,30313
47155,369
18348,14089
6434,22222
32671,3750
13697,26606
9427,23857
13167,31270
36260,9496
42945,19357
22210,2040
41848,43133
4954,47006
19549,4663
10713,7311
17373,40697
5302,17727
22290,36023
29157,39099
19622,43920
41835,23353
38124,44787
37427,47105
29647,22347
49122,22379
20912,34690
38678,49418
44752,2759
19608,35303
14433,5307
32126,6857
37323,8109
34836,24017
11905,19000
43999,22160
17398,33764
37524,5271
47093,5085
16093,15541
20519,45552
28066,19008
29044,3079
14812,47394
6209,33094
15454,5337
23587,16349
18855,1556
31335,13366
41179,46890
3677,1831
43758,31524
32055,1296
48434,15748
16115,17168
40312,3842
4836,35465
18680,48894
22726,7565
1503,13597
2989,48270
33611,41702
12910,24610
36027,40062
29635,36315
25607,23920
33732,7372
48183,14193
31078,30773
6851,7588
3212,19796
4186,29203
11342,31424
14683,27945
19749,5511
1386,43464
44660,7090
26822,44804
29854,37744
35103,25261
8903,24750
16638,7625
3749,38757
38621,5980
48973,44651
10054,14480
7039,36387
31433,11337
5735,48039
44944,7684
44322,34544
2439,37927
33882,40322
48831,4818
26036,30225
17032,29671
23111,33206
47502,16129
19623,33629
40153,38324
442,1616
31160,40436
5210,37156
5625,35039
25839,29938
32569,13811
35842,37033
28492,29270
39752,37564
19890,19275
6181,32186
46146,21950
45585,48703
36398,30197
4813,11590
1311,31109
24972,24864
28397,31605
48559,15066
33830,48474
22675,45753
44890,43549
12619,31454
30033,24738
39292,46875
40913,21792
42153,13152
47457,13209
32105,6809
5657,43129
43041,29430
18389,4959
31222,45416
4275,22679
44570,39243
47212,47220
13313,36315
12813,12275
18817,3931
2196,19479
30919,41042
33236,31967
41845,31668
25211,40
46415,866
3868,659
27055,1872
34857,20311
27520,29014
16196,20497
35667,40708
39340,10275
16485,27536
25265,37627
41480,3597
8756,46143
35531,15008
3452,7989
35477,35076
47541,43530
48118,1785
47312,44160
39300,13244
36519,30005
15883,23543
15811,5903
40055,42951
44810,9002
48632,28072
32223,26467
19688,6663
17305,7992
35973,372
27379,7120
40135,27956
44142,32888
37866,1346
4197,44692
24958,24566
24446,5466
44146,6935
36105,23340
7992,19282
21380,45945
9723,27451
33597,25898
31052,2463
7376,30704
36613,10068
34349,38449
7077,36891
15295,30275
5085,32378
13146,228
42346,31731
24654,36894
40224,12270
16876,42698
28808,41001
47109,8967
38913,31832
31112,24299
43679,4603
6283,18740
16434,19035
34422,7888
8642,37389
45333,10200
28179,23094
31723,32725
5890,49903
27469,9695
11903,20315
20896,24395
4254,8613
31664,30584
46638,40356
35075,1005
46237,9671
44966,21116
17928,31525
8899,46402
49947,16459
11713,3464
5832,49621
32017,2896
24727,33346
20255,29382
492,22
11395,47948
23747,24523
33141,19608
23705,34877
6117,42385
1212,6753
14336,41681
14650,6338
13144,44008
24388,12487
33115,39722
5335,34923
29886,14497
30185,36951
21928,18332
11116,27856
28087,21089
30028,7010
14315,8828
36560,35080
10635,18682
42481,25636
17585,20362
19438,30891
49581,30898
6663,12005
20574,36201
49657,40899
16673,5025
6869,36826
6551,49631
17849,41816
34061,31614
46341,8187
32105,10284
21108,3073
14104,11791
7054,23238
39695,765
35238,8689
42767,16043
10128,581
1569,6657
19829,39810
6323,21034
20803,7141
30130,31664
22549,26130
30256,18800
34592,1267
12561,45947
31630,15762
30525,49057
7529,948
39658,28590
15477,43652
41715,33850
13947,21378
29483,34693
9611,33388
32392,30517
38824,39078
38987,18356
11371,8190
2526,44849
9723,43047
46838,4164
47489,3937
22625,44937
9974,5053
44757,29847
2531,28625
42439,7564
10935,3801
27554,1703
40778,6459
740,27528
33268,28254
11952,33668
27566,16830
17244,23240
36598,34577
30584,26329
3553,8708
14076,28700
7447,44512
41285,38950
30996,33311
42270,30916
30060,16501
13156,6524
37745,19497
21806,8737
31017,26642
39527,49143
25180,15864
22294,48006
39008,20960
37128,13729
33391,5575
29908,11794
5104,29762
21111,12493
3057,4858
46533,34346
25111,19361
36288,9308
42589,13747
46413,43731
12988,34925
40060,5438
20013,42011
5627,23949
24492,10207
40346,16919
32623,27032
4337,8437
41139,46580
16613,8951
31066,12553
6969,6601
7335,17347
47015,21900
13733,48114
20296,25223
22355,12024
16625,22220
11716,26999
36538,45008
21198,21052
44438,12199
24306,12685
6340,26350
27195,4518
32163,8201
40430,9759
8226,37299
21855,16205
47604,3083
45464,48549
23235,44429
22289,17632
860,18946
7030,31223
20163,10605
37176,3336
18207,17885
16408,37102
36829,38772
27306,39114
5693,23048
40648,11286
15391,47441
32704,30900
7087,40987
11511,29074
31860,41448
4408,44082
4135,7546
49639,7260
16020,39978
1894,44906
2837,28349
5929,16648
18484,48017
21639,44796
27025,18681
36381,48689
15340,6419
18069,13702
15465,21429
41789,36151
49458,6796
34796,13178
36432,43116
21026,2127
736,17903
8509,45018
3392,13401
42000,16922
35053,5443
42305,3358
10909,9995
30494,12634
14660,11222
10633,46263
23684,38563
46317,37902
44839,3207
38001,18448
14472,30637
44500,6908
38276,17314
46572,17937
33051,518
34658,49524
46142,36958
36650,31426
34729,32761
3098,5159
34906,2094
14368,30322
29014,34481
43479,30779
26247,28880
39877,26911
14123,45559
41833,43301
42764,8760
6677,40645
42964,4205
28886,5227
40001,49756
11236,49220
10610,33632
27020,9987
48566,3832
111,175
42593,34124
26343,7986
25370,13239
23445,18553
39857,40851
38513,35329
18345,31598
42461,1769
47392,30180
10941,2739
2744,32671
49403,49372
6803,10808
38222,2162
16664,1705
12187,11292
24316,28399
14744,34709
3498,46248
32376,7677
7986,46336
21295,938
10518,26139
4808,21136
46623,1418
35256,22946
42367,36761
36810,46226
27940,34156
45717,49579
12259,30438
5519,7732
15852,8535
25991,1784
22267,49484
7377,44067
16179,4334
4596,31041
41866,46244
30463,24760
20608,41209
25527,9456
32688,26842
21865,22974
5926,46262
15651,4442
20153,44523
11901,26291
37638,3057
24640,22050
2985,31159
44711,36728
48949,35965
20095,16469
6178,41241
25725,31543
19658,8998
49156,13478
16505,1674
43365,39026
9182,23283
8087,12240
5549,32980
12187,24311
10404,29618
49843,36301
49001,43980
1912,34197
8687,3032
32623,3755
47205,34450
2923,7216
5866,24819
6284,37140
40753,45617
20601,22977
35747,19094
4199,14403
35667,15112
39234,14200
28365,48425
15086,23601
35718,27252
45271,24248
37032,4787
31607,12469
22790,48396
24557,30448
22110,17119
7785,3771
20167,14129
23935,37259
2597,46903
44984,489
3446,46388
35894,9559
38976,38591
43856,23680
31422,49798
20630,25071
45775,34078
11160,5959
29245,35502
8913,48355
33748,16066
14667,38580
20136,10091
10636,29982
27539,16038
9380,29209
49682,22591
30137,17473
39918,9067
29266,42882
21304,31223
46987,17112
11314,34503
16161,18090
42402,13062
25867,1798
22774,44688
1084,961
46151,26882
33714,14886
1267,49315
47391,25762
41930,6532
855,47412
19303,5371
49701,9456
49496,23833
8116,15863
48700,2114
13502,4240
49574,36567
13450,29637
29860,7958
7675,49954
18554,32998
39458,12467
39488,7915
22195,14497
37566,14732
1182,16875
48959,31209
22089,31965
38438,10921
33274,12661
31268,30575
22971,34581
47989,4914
9460,28611
3560,15844
3253,13891
47815,31406
730,30134
17056,44004
43642,16065
9197,20984
6921,13084
22799,4095
25118,7982
21536,45948
14850,27645
35692,41815
30914,16526
13648,163
22195,29094
40041,39287
44207,38912
48138,21391
34062,14433
48793,46798
43105,43913
19232,39273
43113,42251
28008,47237
24029,35268
22542,8522
48511,21488
37414,22263
34586,14896
36219,29720
13424,404
3601,41250
7892,20047
27145,31291
14517,17279
1313,10526
3581,10469
1240,43785
3453,25411
48743,40023
21272,11398
11112,38099
22357,1338
41194,15856
3200,6255
41474,39521
11033,20621
20863,15799
19896,13142
46709,17876
42847,7916
18617,11014
40764,29397
30980,12857
49051,31680
2813,27855
17146,515
18881,7388
8287,10452
13844,20182
5669,17283
43646,13106
43724,40493
14797,44185
43320,3052
24245,17108
4032,3022
9746,26819
1530,11737
6160,5364
24349,46970
5567,967
9173,20869
48807,26886
19833,41981
49945,9811
45613,38310
19851,22472
22162,14851
26515,30752
23793,18495
47098,23908
15546,11777
32706,12432
11895,13732
40809,2187
43236,8672
9118,11049
26682,40871
610,3074
23953,7160
36811,2038
34316,42439
11811,44948
14684,34234
13869,13675
5853,32718
28563,14358
35332,47311
28941,7582
18877,7523
26634,39796
27006,2590
8178,34066
5501,33896
30139,10487
16655,33857
5330,20074
17886,8377
10968,31996
48705,9694
27467,18439
25176,15941
17697,42611
2436,23610
37230,34014
11284,31715
3430,19907
26102,39513
30118,44717
27883,39303
22171,45532
31291,48779
43916,45879
42515,44079
3005,4738
14134,6350
25701,27413
18153,10166
11632,20610
32747,29083
20762,24057
5209,4386
48909,47873
49613,26739
27976,20993
43102,49964
42034,37500
45746,39739
15864,13934
42845,25606
26269,15262
36926,31283
16955,12728
49647,16792
30154,18116
49147,35985
32892,24479
40307,38411
17623,20326
35742,42884
22925,1920
20577,29777
5392,10336
445,47066
5360,10765
11848,30258
19359,5819
3139,46805
23769,39252
38893,41969
20585,33681
3881,10396
26874,29873
35574,17023
6526,4717
1552,16400
27984,12473
2784,10687
16037,229
37554,27092
7003,14232
15953,40943
5596,8268
12925,48360
8233,37180
40225,26576
18874,37813
42004,30723
4479,2115
5467,27345
34304,23440
44273,22585
1915,24534
44932,34147
20165,48116
31425,16220
34754,14863
34253,49996
12822,11379
29337,11321
2015,34139
31123,48907
7778,34298
49605,36953
32839,13269
36066,3200
22772,16097
41418,36338
7587,1103
24308,10227
49978,29477
44137,2000
13070,25604
31455,704
37178,11975
28547,32919
15069,827
48694,26931
49205,42499
40005,7284
41232,3928
13211,48169
22614,3597
8708,14403
32313,13955
16360,13391
36358,311
41849,19872
39615,31696
21353,32951
35057,35158
43512,38895
33255,9454
40892,37892
44331,15939
451,39518
11013,16032
31209,35145
45170,18627
12490,14410
38935,22775
24904,37298
43530,49216
44105,15457
46852,46427
14739,43113
43376,33500
2587,49896
34664,34511
34998,34602
8311,13185
41591,17063
42393,32352
30553,9682
40397,19974
1704,18820
49783,25056
49932,14075
5924,34830
38943,40397
34719,11279
42460,32540
9482,2199
7453,15434
15051,33226
23795,34947
24268,27775
22584,42128
4020,42238
10892,49190
38963,42801
40535,8216
29600,37092
46797,30695
38576,7893
5470,7399
37698,46537
7722,24848
26923,33574
38881,41135
38718,15206
33594,43188
8240,47059
4176,42792
35388,47819
18970,3052
47114,42509
14170,1087
42339,45993
32458,30324
26083,16984
3073,16810
49855,42328
19031,20134
27069,30452
44748,33865
7476,47952
14789,35596
42312,20182
16524,29900
6199,48921
917,28342
26327,16239
8720,22433
14953,35357
45493,19635
3937,5315
30069,12521
32435,256
36863,38214
38071,12913
18258,19362
10963,43623
29362,1792
3002,44511
32166,13620
13017,34384
10773,769
38743,46229
30805,17351
20890,43176
48602,39662
42837,33545
35737,30563
34055,15812
526,45710
35184,40224
30362,26357
29957,9838
35658,25320
41651,7862
11151,32169
15045,25202
8898,36418
38429,3519
17516,28352
46468,36876
14526,48704
38458,10440
10209,44677
8511,30026
18967,35164
14210,37727
34041,10003
15963,20131
898,13989
26401,41024
49100,49762
17989,22082
12352,5234
45827,37207
1508,47039
3690,29299
37696,15852
18640,4666
14253,33196
13879,16643
42784,32802
12157,41425
25384,46056
19346,15757
22088,22787
48331,26284
21637,5599
11994,21900
48209,42883
27841,45558
30073,44022
6492,38039
48138,46307
7901,15431
38730,11105
42080,21312
14043,17376
33863,48331
42126,6806
47960,635
18741,26746
46674,17539
13128,3998
25669,43913
23271,18674
39044,28308
24314,1
345,38271
35767,45196
33227,28318
17785,8842
23073,43249
6215,2082
26114,16035
25023,1261
38753,46774
42286,19013
7092,35633
46273,36959
3339,35675
11665,41039
31538,12312
11509,45040
4827,27945
30648,36397
48984,22383
42044,27854
45530,38516
33082,32624
8899,3614
15947,38370
46509,37701
32286,3712
33490,8468
38433,41364
23123,20441
14479,10964
12159,23107
38919,21514
35796,1373
42640,38707
26622,23377
46955,28882
29284,14208
31497,28203
39570,38565
40565,23521
26894,26419
11211,43112
46218,16328
17837,35656
3706,4787
17614,5406
10092,9842
28736,22821
32919,278
5598,42883
5057,42278
29680,46914
39893,1936
27930,26403
10144,3622
34542,27331
33798,42620
41228,23120
16294,29445
16543,47052
10122,18688
34808,31877
7020,17839
4048,41979
44785,19770
2819,34176
8296,11610
45853,23702
43897,929
42097,4664
30113,16681
28035,33103
28992,790
15835,47360
45419,10851
10942,5969
47460,48658
12479,4562
16095,5393
15062,40623
5589,42420
43679,33535
22301,28369
17149,35480
48828,18571
49163,23315
3874,14863
46090,35059
26457,46864
30878,3177
40596,4477
49710,39564
10066,2396
26344,20290
10843,15103
45891,12922
4247,28278
48075,40999
38908,42144
42655,31041
34936,40719
3298,17241
10998,19747
49626,6221
30670,15261
16628,35329
24264,23145
12015,5433
21257,32063
4479,26907
25610,16466
2222,47669
2470,36357
4618,12688
3294,39974
10461,16256
46737,12086
44805,23954
28862,34841
31459,19641
33306,13382
27498,34994
11148,39214
25622,25519
44361,6987
24317,4168
26055,35568
30297,39802
31143,26461
30138,66
14221,17961
17561,12200
8024,49850
30817,3872
24461,21130
43438,7038
30621,35844
13727,14563
26980,46637
42564,1572
16795,7692
29257,37710
44700,9476
20056,13414
10222,27296
3533,35339
578,18912
24684,28565
28767,44786
18956,20584
8621,44320
1199,28930
30694,48285
15574,28127
26007,48457
19,45702
26589,23253
30799,26381
2326,10362
31877,10673
15238,29407
13697,28198
16642,33577
46140,40126
28879,9730
20095,393
38504,18475
20971,2384
49751,22178
27276,30957
9608,22794
10903,22234
21556,37296
4548,27548
13941,13871
44526,35644
48284,3111
48101,47587
25919,15248
45199,25148
45681,24142
28360,4333
23110,25378
7004,39641
42746,43196
9160,30211
13890,1917
28841,47379
6056,37751
40641,34485
47149,1143
48167,31343
34261,6503
48118,20580
27916,4375
26105,36131
39151,27625
616,47077
2639,2231
28732,40891
14532,5585
12742,45627
30873,21969
38910,34431
20837,26347
24628,35519
29792,43533
24106,46761
7067,1483
40895,22913
16871,7750
37547,37073
32826,12738
23347,24199
43860,33281
41075,47084
4029,46896
3048,17939
16287,22641
6815,37511
883,41171
10486,21613
43375,8627
15402,43347
16589,1050
41672,36282
785,10771
41759,14535
38741,43462
20257,32474
3956,11470
41026,5051
16703,41441
3735,22037
39904,12287
30677,29242
38504,47659
23011,35813
47881,14423
31934,28446
29141,4864
18920,32591
25998,14436
25598,45224
22569,34788
33309,41187
7372,47309
41424,11281
41597,29171
3511,3687
43126,44673
24598,36142
8889,47809
18744,48581
48862,26129
948,36682
4020,9015
36952,22645
21758,7057
20612,13695
15488,28024
32096,44991
44059,10586
31461,42290
49030,36565
32254,41039
6639,20288
16990,6714
26870,48904
22861,19114
11881,48524
628,21885
36873,38139
574,7139
27157,12090
23633,23315
25192,44418
44583,29142
32056,8606
8532,37796
39000,44029
5291,2666
25997,3274
15024,49267
34801,21221
35688,41730
3926,11030
14463,37026
49957,6877
23272,37593
33576,14619
3575,33547
33930,34683
42593,5881
46304,33384
24603,8573
11158,33908
14273,31322
45901,39302
22951,13558
3334,9673
20410,47423
13536,43646
27582,24540
46303,45305
40129,9980
4140,23354
22083,16403
13292,36849
11459,7987
32711,13967
31804,5311
19088,11020
27301,116
33061,25062
19208,47348
5447,38493
39484,41508
24127,47225
23902,21684
26625,45519
12214,16930
3629,19134
2132,49136
38541,16836
43260,4589
4040,14790
13932,2588
39698,28958
17342,42564
48488,49682
32268,18836
18287,39346
21968,11095
23952,34170
42493,37027
23605,862
2358,17081
7558,43130
15818,25581
36137,38277
29091,15703
40404,32317
19328,20505
22750,34998
45252,42053
20187,9081
46953,25078
1178,48105
5740,29879
25943,30018
35962,2305
31712,38355
44151,13435
27394,37359
29689,34838
1727,131
3065,18781
36922,24485
34459,15232
1980,14325
30079,4517
33914,42456
21426,21852
19276,29243
22489,309
35954,3974
46219,35562
20559,37662
35697,45040
25390,41687
9398,7338
42736,10209
29137,36247
44665,47870
29139,41223
28923,7576
10869,37872
34024,14913
38397,24094
47687,9281
37903,26731
18991,39271
